文章標題,文章網址,文章作者,留言,文章內容
[生產] 兩家月子中心選擇-美成vs.后愛,https://www.ptt.cc/bbs/BabyMother/M.1639388551.A.19C.html,rabbitva (兔子寶*),后愛，我住過，很舒服，護理師人很好，有寫過分享,"作者rabbitva (兔子寶*)看板BabyMother標題[生產] 兩家月子中心選擇-美成vs.后愛時間Mon Dec 13 17:42:29 2021

目前有兩家名單在做選擇，美成和后愛，離家距離都算近，想請住過的媽媽們分享一下你們比較推哪間，預算的話感謝老公，只要是我喜歡的房型都可以。

====================



"
[生產] 兩家月子中心選擇-美成vs.后愛,https://www.ptt.cc/bbs/BabyMother/M.1639388551.A.19C.html,rabbitva (兔子寶*),文,"作者rabbitva (兔子寶*)看板BabyMother標題[生產] 兩家月子中心選擇-美成vs.后愛時間Mon Dec 13 17:42:29 2021

目前有兩家名單在做選擇，美成和后愛，離家距離都算近，想請住過的媽媽們分享一下你們比較推哪間，預算的話感謝老公，只要是我喜歡的房型都可以。

====================



"
[生產] 兩家月子中心選擇-美成vs.后愛,https://www.ptt.cc/bbs/BabyMother/M.1639388551.A.19C.html,rabbitva (兔子寶*),雙和不錯可以考慮參觀看看,"作者rabbitva (兔子寶*)看板BabyMother標題[生產] 兩家月子中心選擇-美成vs.后愛時間Mon Dec 13 17:42:29 2021

目前有兩家名單在做選擇，美成和后愛，離家距離都算近，想請住過的媽媽們分享一下你們比較推哪間，預算的話感謝老公，只要是我喜歡的房型都可以。

====================



"
[寶寶] 8M奶及副食品調整請益,https://www.ptt.cc/bbs/BabyMother/M.1639388726.A.3FC.html,mandy0215 (以詩歌和春光佐茶),補奶補好多，副食品要加量了吃完就不要補試試看,"作者mandy0215 (以詩歌和春光佐茶)看板BabyMother標題[寶寶] 8M奶及副食品調整請益時間Mon Dec 13 17:45:24 2021
文長

寶寶目前剛滿8個月，體重9.3kg，副食品食慾說不上好或不好，但他似乎也沒有厭奶（配方
奶）的跡象，目前作息如下：

06:30 奶 210-240
小睡1h
10:30 副食品 120-130
11:00 補奶150-170
小睡1h
14:30 副食品 120-130（有時會剩一點點）
15:00 補奶150-170
沒有小睡或有小睡30分鐘
19:30 奶210-240
20:00 長睡

目前育嬰留停，即將在1月復職，
所以有一些想法跟調整想跟各位請益：

1.這月齡似乎該改成三奶兩副，
想說是否10點半的副食品加量至150，
然後把原先的補奶奶量遞減？
或是先試試看直接不補奶，真討奶再給？

2.之後會由保姆餵食一次副食（午餐），
所以想把第二次的副食改晚上再餵，
這樣作法可行嗎？
還是現在就試著調整看看？
主要是在想目前連續兩餐副食品又有補奶，
雖然寶寶都吃完喝完，
但會不會其實他很撐？
怕對寶寶是一種負擔…
（媽媽自己腦補）
（加上有幾次沒有給第二次副食，
結果寶寶還是只喝了150就不喝了）

3.加碼問個非關飲食的問題，
就是寶寶自從4個多月會翻身之後，
晚上的長睡眠有時會翻身成跪姿，
有時可能姿勢不順不好睡，
唉唉叫+動來動去，但沒有醒來，
幫他翻回仰躺後，自己會轉側姿繼續睡，
幾乎都是11點開始循環…
一個晚上來個567次…
以為是餓了，
但塞奶嘴或是幫喬好睡姿後又沒事了，
所以應該不是餓吧？！

以上向各位大大請益了，感謝！


"
[寶寶] 8M奶及副食品調整請益,https://www.ptt.cc/bbs/BabyMother/M.1639388726.A.3FC.html,mandy0215 (以詩歌和春光佐茶),3. 的問題是什麼？大人睡覺也會深淺眠轉換翻來翻去,"作者mandy0215 (以詩歌和春光佐茶)看板BabyMother標題[寶寶] 8M奶及副食品調整請益時間Mon Dec 13 17:45:24 2021
文長

寶寶目前剛滿8個月，體重9.3kg，副食品食慾說不上好或不好，但他似乎也沒有厭奶（配方
奶）的跡象，目前作息如下：

06:30 奶 210-240
小睡1h
10:30 副食品 120-130
11:00 補奶150-170
小睡1h
14:30 副食品 120-130（有時會剩一點點）
15:00 補奶150-170
沒有小睡或有小睡30分鐘
19:30 奶210-240
20:00 長睡

目前育嬰留停，即將在1月復職，
所以有一些想法跟調整想跟各位請益：

1.這月齡似乎該改成三奶兩副，
想說是否10點半的副食品加量至150，
然後把原先的補奶奶量遞減？
或是先試試看直接不補奶，真討奶再給？

2.之後會由保姆餵食一次副食（午餐），
所以想把第二次的副食改晚上再餵，
這樣作法可行嗎？
還是現在就試著調整看看？
主要是在想目前連續兩餐副食品又有補奶，
雖然寶寶都吃完喝完，
但會不會其實他很撐？
怕對寶寶是一種負擔…
（媽媽自己腦補）
（加上有幾次沒有給第二次副食，
結果寶寶還是只喝了150就不喝了）

3.加碼問個非關飲食的問題，
就是寶寶自從4個多月會翻身之後，
晚上的長睡眠有時會翻身成跪姿，
有時可能姿勢不順不好睡，
唉唉叫+動來動去，但沒有醒來，
幫他翻回仰躺後，自己會轉側姿繼續睡，
幾乎都是11點開始循環…
一個晚上來個567次…
以為是餓了，
但塞奶嘴或是幫喬好睡姿後又沒事了，
所以應該不是餓吧？！

以上向各位大大請益了，感謝！


"
[寶寶] 8M奶及副食品調整請益,https://www.ptt.cc/bbs/BabyMother/M.1639388726.A.3FC.html,mandy0215 (以詩歌和春光佐茶),啊,"作者mandy0215 (以詩歌和春光佐茶)看板BabyMother標題[寶寶] 8M奶及副食品調整請益時間Mon Dec 13 17:45:24 2021
文長

寶寶目前剛滿8個月，體重9.3kg，副食品食慾說不上好或不好，但他似乎也沒有厭奶（配方
奶）的跡象，目前作息如下：

06:30 奶 210-240
小睡1h
10:30 副食品 120-130
11:00 補奶150-170
小睡1h
14:30 副食品 120-130（有時會剩一點點）
15:00 補奶150-170
沒有小睡或有小睡30分鐘
19:30 奶210-240
20:00 長睡

目前育嬰留停，即將在1月復職，
所以有一些想法跟調整想跟各位請益：

1.這月齡似乎該改成三奶兩副，
想說是否10點半的副食品加量至150，
然後把原先的補奶奶量遞減？
或是先試試看直接不補奶，真討奶再給？

2.之後會由保姆餵食一次副食（午餐），
所以想把第二次的副食改晚上再餵，
這樣作法可行嗎？
還是現在就試著調整看看？
主要是在想目前連續兩餐副食品又有補奶，
雖然寶寶都吃完喝完，
但會不會其實他很撐？
怕對寶寶是一種負擔…
（媽媽自己腦補）
（加上有幾次沒有給第二次副食，
結果寶寶還是只喝了150就不喝了）

3.加碼問個非關飲食的問題，
就是寶寶自從4個多月會翻身之後，
晚上的長睡眠有時會翻身成跪姿，
有時可能姿勢不順不好睡，
唉唉叫+動來動去，但沒有醒來，
幫他翻回仰躺後，自己會轉側姿繼續睡，
幾乎都是11點開始循環…
一個晚上來個567次…
以為是餓了，
但塞奶嘴或是幫喬好睡姿後又沒事了，
所以應該不是餓吧？！

以上向各位大大請益了，感謝！


"
[寶寶] 8M奶及副食品調整請益,https://www.ptt.cc/bbs/BabyMother/M.1639388726.A.3FC.html,mandy0215 (以詩歌和春光佐茶),怎麼不把第二次副食品往後移？,"作者mandy0215 (以詩歌和春光佐茶)看板BabyMother標題[寶寶] 8M奶及副食品調整請益時間Mon Dec 13 17:45:24 2021
文長

寶寶目前剛滿8個月，體重9.3kg，副食品食慾說不上好或不好，但他似乎也沒有厭奶（配方
奶）的跡象，目前作息如下：

06:30 奶 210-240
小睡1h
10:30 副食品 120-130
11:00 補奶150-170
小睡1h
14:30 副食品 120-130（有時會剩一點點）
15:00 補奶150-170
沒有小睡或有小睡30分鐘
19:30 奶210-240
20:00 長睡

目前育嬰留停，即將在1月復職，
所以有一些想法跟調整想跟各位請益：

1.這月齡似乎該改成三奶兩副，
想說是否10點半的副食品加量至150，
然後把原先的補奶奶量遞減？
或是先試試看直接不補奶，真討奶再給？

2.之後會由保姆餵食一次副食（午餐），
所以想把第二次的副食改晚上再餵，
這樣作法可行嗎？
還是現在就試著調整看看？
主要是在想目前連續兩餐副食品又有補奶，
雖然寶寶都吃完喝完，
但會不會其實他很撐？
怕對寶寶是一種負擔…
（媽媽自己腦補）
（加上有幾次沒有給第二次副食，
結果寶寶還是只喝了150就不喝了）

3.加碼問個非關飲食的問題，
就是寶寶自從4個多月會翻身之後，
晚上的長睡眠有時會翻身成跪姿，
有時可能姿勢不順不好睡，
唉唉叫+動來動去，但沒有醒來，
幫他翻回仰躺後，自己會轉側姿繼續睡，
幾乎都是11點開始循環…
一個晚上來個567次…
以為是餓了，
但塞奶嘴或是幫喬好睡姿後又沒事了，
所以應該不是餓吧？！

以上向各位大大請益了，感謝！


"
[寶寶] 8M奶及副食品調整請益,https://www.ptt.cc/bbs/BabyMother/M.1639388726.A.3FC.html,mandy0215 (以詩歌和春光佐茶),4小時吃2次副食品和一次奶？,"作者mandy0215 (以詩歌和春光佐茶)看板BabyMother標題[寶寶] 8M奶及副食品調整請益時間Mon Dec 13 17:45:24 2021
文長

寶寶目前剛滿8個月，體重9.3kg，副食品食慾說不上好或不好，但他似乎也沒有厭奶（配方
奶）的跡象，目前作息如下：

06:30 奶 210-240
小睡1h
10:30 副食品 120-130
11:00 補奶150-170
小睡1h
14:30 副食品 120-130（有時會剩一點點）
15:00 補奶150-170
沒有小睡或有小睡30分鐘
19:30 奶210-240
20:00 長睡

目前育嬰留停，即將在1月復職，
所以有一些想法跟調整想跟各位請益：

1.這月齡似乎該改成三奶兩副，
想說是否10點半的副食品加量至150，
然後把原先的補奶奶量遞減？
或是先試試看直接不補奶，真討奶再給？

2.之後會由保姆餵食一次副食（午餐），
所以想把第二次的副食改晚上再餵，
這樣作法可行嗎？
還是現在就試著調整看看？
主要是在想目前連續兩餐副食品又有補奶，
雖然寶寶都吃完喝完，
但會不會其實他很撐？
怕對寶寶是一種負擔…
（媽媽自己腦補）
（加上有幾次沒有給第二次副食，
結果寶寶還是只喝了150就不喝了）

3.加碼問個非關飲食的問題，
就是寶寶自從4個多月會翻身之後，
晚上的長睡眠有時會翻身成跪姿，
有時可能姿勢不順不好睡，
唉唉叫+動來動去，但沒有醒來，
幫他翻回仰躺後，自己會轉側姿繼續睡，
幾乎都是11點開始循環…
一個晚上來個567次…
以為是餓了，
但塞奶嘴或是幫喬好睡姿後又沒事了，
所以應該不是餓吧？！

以上向各位大大請益了，感謝！


"
[寶寶] 8M奶及副食品調整請益,https://www.ptt.cc/bbs/BabyMother/M.1639388726.A.3FC.html,mandy0215 (以詩歌和春光佐茶),覺得一直都在吃，1030-1100就副食品不要補奶，下午,"作者mandy0215 (以詩歌和春光佐茶)看板BabyMother標題[寶寶] 8M奶及副食品調整請益時間Mon Dec 13 17:45:24 2021
文長

寶寶目前剛滿8個月，體重9.3kg，副食品食慾說不上好或不好，但他似乎也沒有厭奶（配方
奶）的跡象，目前作息如下：

06:30 奶 210-240
小睡1h
10:30 副食品 120-130
11:00 補奶150-170
小睡1h
14:30 副食品 120-130（有時會剩一點點）
15:00 補奶150-170
沒有小睡或有小睡30分鐘
19:30 奶210-240
20:00 長睡

目前育嬰留停，即將在1月復職，
所以有一些想法跟調整想跟各位請益：

1.這月齡似乎該改成三奶兩副，
想說是否10點半的副食品加量至150，
然後把原先的補奶奶量遞減？
或是先試試看直接不補奶，真討奶再給？

2.之後會由保姆餵食一次副食（午餐），
所以想把第二次的副食改晚上再餵，
這樣作法可行嗎？
還是現在就試著調整看看？
主要是在想目前連續兩餐副食品又有補奶，
雖然寶寶都吃完喝完，
但會不會其實他很撐？
怕對寶寶是一種負擔…
（媽媽自己腦補）
（加上有幾次沒有給第二次副食，
結果寶寶還是只喝了150就不喝了）

3.加碼問個非關飲食的問題，
就是寶寶自從4個多月會翻身之後，
晚上的長睡眠有時會翻身成跪姿，
有時可能姿勢不順不好睡，
唉唉叫+動來動去，但沒有醒來，
幫他翻回仰躺後，自己會轉側姿繼續睡，
幾乎都是11點開始循環…
一個晚上來個567次…
以為是餓了，
但塞奶嘴或是幫喬好睡姿後又沒事了，
所以應該不是餓吧？！

以上向各位大大請益了，感謝！


"
[寶寶] 8M奶及副食品調整請益,https://www.ptt.cc/bbs/BabyMother/M.1639388726.A.3FC.html,mandy0215 (以詩歌和春光佐茶),也是只要副食品，等到睡前再喝奶。我覺得寶寶不會餓,"作者mandy0215 (以詩歌和春光佐茶)看板BabyMother標題[寶寶] 8M奶及副食品調整請益時間Mon Dec 13 17:45:24 2021
文長

寶寶目前剛滿8個月，體重9.3kg，副食品食慾說不上好或不好，但他似乎也沒有厭奶（配方
奶）的跡象，目前作息如下：

06:30 奶 210-240
小睡1h
10:30 副食品 120-130
11:00 補奶150-170
小睡1h
14:30 副食品 120-130（有時會剩一點點）
15:00 補奶150-170
沒有小睡或有小睡30分鐘
19:30 奶210-240
20:00 長睡

目前育嬰留停，即將在1月復職，
所以有一些想法跟調整想跟各位請益：

1.這月齡似乎該改成三奶兩副，
想說是否10點半的副食品加量至150，
然後把原先的補奶奶量遞減？
或是先試試看直接不補奶，真討奶再給？

2.之後會由保姆餵食一次副食（午餐），
所以想把第二次的副食改晚上再餵，
這樣作法可行嗎？
還是現在就試著調整看看？
主要是在想目前連續兩餐副食品又有補奶，
雖然寶寶都吃完喝完，
但會不會其實他很撐？
怕對寶寶是一種負擔…
（媽媽自己腦補）
（加上有幾次沒有給第二次副食，
結果寶寶還是只喝了150就不喝了）

3.加碼問個非關飲食的問題，
就是寶寶自從4個多月會翻身之後，
晚上的長睡眠有時會翻身成跪姿，
有時可能姿勢不順不好睡，
唉唉叫+動來動去，但沒有醒來，
幫他翻回仰躺後，自己會轉側姿繼續睡，
幾乎都是11點開始循環…
一個晚上來個567次…
以為是餓了，
但塞奶嘴或是幫喬好睡姿後又沒事了，
所以應該不是餓吧？！

以上向各位大大請益了，感謝！


"
[寶寶] 8M奶及副食品調整請益,https://www.ptt.cc/bbs/BabyMother/M.1639388726.A.3FC.html,mandy0215 (以詩歌和春光佐茶),到自己，餓了會討的,"作者mandy0215 (以詩歌和春光佐茶)看板BabyMother標題[寶寶] 8M奶及副食品調整請益時間Mon Dec 13 17:45:24 2021
文長

寶寶目前剛滿8個月，體重9.3kg，副食品食慾說不上好或不好，但他似乎也沒有厭奶（配方
奶）的跡象，目前作息如下：

06:30 奶 210-240
小睡1h
10:30 副食品 120-130
11:00 補奶150-170
小睡1h
14:30 副食品 120-130（有時會剩一點點）
15:00 補奶150-170
沒有小睡或有小睡30分鐘
19:30 奶210-240
20:00 長睡

目前育嬰留停，即將在1月復職，
所以有一些想法跟調整想跟各位請益：

1.這月齡似乎該改成三奶兩副，
想說是否10點半的副食品加量至150，
然後把原先的補奶奶量遞減？
或是先試試看直接不補奶，真討奶再給？

2.之後會由保姆餵食一次副食（午餐），
所以想把第二次的副食改晚上再餵，
這樣作法可行嗎？
還是現在就試著調整看看？
主要是在想目前連續兩餐副食品又有補奶，
雖然寶寶都吃完喝完，
但會不會其實他很撐？
怕對寶寶是一種負擔…
（媽媽自己腦補）
（加上有幾次沒有給第二次副食，
結果寶寶還是只喝了150就不喝了）

3.加碼問個非關飲食的問題，
就是寶寶自從4個多月會翻身之後，
晚上的長睡眠有時會翻身成跪姿，
有時可能姿勢不順不好睡，
唉唉叫+動來動去，但沒有醒來，
幫他翻回仰躺後，自己會轉側姿繼續睡，
幾乎都是11點開始循環…
一個晚上來個567次…
以為是餓了，
但塞奶嘴或是幫喬好睡姿後又沒事了，
所以應該不是餓吧？！

以上向各位大大請益了，感謝！


"
[寶寶] 8M奶及副食品調整請益,https://www.ptt.cc/bbs/BabyMother/M.1639388726.A.3FC.html,mandy0215 (以詩歌和春光佐茶),第一時間也是覺得補奶補好多...每次副食品完都補奶,"作者mandy0215 (以詩歌和春光佐茶)看板BabyMother標題[寶寶] 8M奶及副食品調整請益時間Mon Dec 13 17:45:24 2021
文長

寶寶目前剛滿8個月，體重9.3kg，副食品食慾說不上好或不好，但他似乎也沒有厭奶（配方
奶）的跡象，目前作息如下：

06:30 奶 210-240
小睡1h
10:30 副食品 120-130
11:00 補奶150-170
小睡1h
14:30 副食品 120-130（有時會剩一點點）
15:00 補奶150-170
沒有小睡或有小睡30分鐘
19:30 奶210-240
20:00 長睡

目前育嬰留停，即將在1月復職，
所以有一些想法跟調整想跟各位請益：

1.這月齡似乎該改成三奶兩副，
想說是否10點半的副食品加量至150，
然後把原先的補奶奶量遞減？
或是先試試看直接不補奶，真討奶再給？

2.之後會由保姆餵食一次副食（午餐），
所以想把第二次的副食改晚上再餵，
這樣作法可行嗎？
還是現在就試著調整看看？
主要是在想目前連續兩餐副食品又有補奶，
雖然寶寶都吃完喝完，
但會不會其實他很撐？
怕對寶寶是一種負擔…
（媽媽自己腦補）
（加上有幾次沒有給第二次副食，
結果寶寶還是只喝了150就不喝了）

3.加碼問個非關飲食的問題，
就是寶寶自從4個多月會翻身之後，
晚上的長睡眠有時會翻身成跪姿，
有時可能姿勢不順不好睡，
唉唉叫+動來動去，但沒有醒來，
幫他翻回仰躺後，自己會轉側姿繼續睡，
幾乎都是11點開始循環…
一個晚上來個567次…
以為是餓了，
但塞奶嘴或是幫喬好睡姿後又沒事了，
所以應該不是餓吧？！

以上向各位大大請益了，感謝！


"
[寶寶] 8M奶及副食品調整請益,https://www.ptt.cc/bbs/BabyMother/M.1639388726.A.3FC.html,mandy0215 (以詩歌和春光佐茶),覺得可以1430喝奶 晚餐跟著大人時間18吃晚餐副食品,"作者mandy0215 (以詩歌和春光佐茶)看板BabyMother標題[寶寶] 8M奶及副食品調整請益時間Mon Dec 13 17:45:24 2021
文長

寶寶目前剛滿8個月，體重9.3kg，副食品食慾說不上好或不好，但他似乎也沒有厭奶（配方
奶）的跡象，目前作息如下：

06:30 奶 210-240
小睡1h
10:30 副食品 120-130
11:00 補奶150-170
小睡1h
14:30 副食品 120-130（有時會剩一點點）
15:00 補奶150-170
沒有小睡或有小睡30分鐘
19:30 奶210-240
20:00 長睡

目前育嬰留停，即將在1月復職，
所以有一些想法跟調整想跟各位請益：

1.這月齡似乎該改成三奶兩副，
想說是否10點半的副食品加量至150，
然後把原先的補奶奶量遞減？
或是先試試看直接不補奶，真討奶再給？

2.之後會由保姆餵食一次副食（午餐），
所以想把第二次的副食改晚上再餵，
這樣作法可行嗎？
還是現在就試著調整看看？
主要是在想目前連續兩餐副食品又有補奶，
雖然寶寶都吃完喝完，
但會不會其實他很撐？
怕對寶寶是一種負擔…
（媽媽自己腦補）
（加上有幾次沒有給第二次副食，
結果寶寶還是只喝了150就不喝了）

3.加碼問個非關飲食的問題，
就是寶寶自從4個多月會翻身之後，
晚上的長睡眠有時會翻身成跪姿，
有時可能姿勢不順不好睡，
唉唉叫+動來動去，但沒有醒來，
幫他翻回仰躺後，自己會轉側姿繼續睡，
幾乎都是11點開始循環…
一個晚上來個567次…
以為是餓了，
但塞奶嘴或是幫喬好睡姿後又沒事了，
所以應該不是餓吧？！

以上向各位大大請益了，感謝！


"
[寶寶] 8M奶及副食品調整請益,https://www.ptt.cc/bbs/BabyMother/M.1639388726.A.3FC.html,mandy0215 (以詩歌和春光佐茶),睡前再喝奶就好,"作者mandy0215 (以詩歌和春光佐茶)看板BabyMother標題[寶寶] 8M奶及副食品調整請益時間Mon Dec 13 17:45:24 2021
文長

寶寶目前剛滿8個月，體重9.3kg，副食品食慾說不上好或不好，但他似乎也沒有厭奶（配方
奶）的跡象，目前作息如下：

06:30 奶 210-240
小睡1h
10:30 副食品 120-130
11:00 補奶150-170
小睡1h
14:30 副食品 120-130（有時會剩一點點）
15:00 補奶150-170
沒有小睡或有小睡30分鐘
19:30 奶210-240
20:00 長睡

目前育嬰留停，即將在1月復職，
所以有一些想法跟調整想跟各位請益：

1.這月齡似乎該改成三奶兩副，
想說是否10點半的副食品加量至150，
然後把原先的補奶奶量遞減？
或是先試試看直接不補奶，真討奶再給？

2.之後會由保姆餵食一次副食（午餐），
所以想把第二次的副食改晚上再餵，
這樣作法可行嗎？
還是現在就試著調整看看？
主要是在想目前連續兩餐副食品又有補奶，
雖然寶寶都吃完喝完，
但會不會其實他很撐？
怕對寶寶是一種負擔…
（媽媽自己腦補）
（加上有幾次沒有給第二次副食，
結果寶寶還是只喝了150就不喝了）

3.加碼問個非關飲食的問題，
就是寶寶自從4個多月會翻身之後，
晚上的長睡眠有時會翻身成跪姿，
有時可能姿勢不順不好睡，
唉唉叫+動來動去，但沒有醒來，
幫他翻回仰躺後，自己會轉側姿繼續睡，
幾乎都是11點開始循環…
一個晚上來個567次…
以為是餓了，
但塞奶嘴或是幫喬好睡姿後又沒事了，
所以應該不是餓吧？！

以上向各位大大請益了，感謝！


"
[寶寶] 8M奶及副食品調整請益,https://www.ptt.cc/bbs/BabyMother/M.1639388726.A.3FC.html,mandy0215 (以詩歌和春光佐茶),好的，非常感謝各位的建議！立刻調整！,"作者mandy0215 (以詩歌和春光佐茶)看板BabyMother標題[寶寶] 8M奶及副食品調整請益時間Mon Dec 13 17:45:24 2021
文長

寶寶目前剛滿8個月，體重9.3kg，副食品食慾說不上好或不好，但他似乎也沒有厭奶（配方
奶）的跡象，目前作息如下：

06:30 奶 210-240
小睡1h
10:30 副食品 120-130
11:00 補奶150-170
小睡1h
14:30 副食品 120-130（有時會剩一點點）
15:00 補奶150-170
沒有小睡或有小睡30分鐘
19:30 奶210-240
20:00 長睡

目前育嬰留停，即將在1月復職，
所以有一些想法跟調整想跟各位請益：

1.這月齡似乎該改成三奶兩副，
想說是否10點半的副食品加量至150，
然後把原先的補奶奶量遞減？
或是先試試看直接不補奶，真討奶再給？

2.之後會由保姆餵食一次副食（午餐），
所以想把第二次的副食改晚上再餵，
這樣作法可行嗎？
還是現在就試著調整看看？
主要是在想目前連續兩餐副食品又有補奶，
雖然寶寶都吃完喝完，
但會不會其實他很撐？
怕對寶寶是一種負擔…
（媽媽自己腦補）
（加上有幾次沒有給第二次副食，
結果寶寶還是只喝了150就不喝了）

3.加碼問個非關飲食的問題，
就是寶寶自從4個多月會翻身之後，
晚上的長睡眠有時會翻身成跪姿，
有時可能姿勢不順不好睡，
唉唉叫+動來動去，但沒有醒來，
幫他翻回仰躺後，自己會轉側姿繼續睡，
幾乎都是11點開始循環…
一個晚上來個567次…
以為是餓了，
但塞奶嘴或是幫喬好睡姿後又沒事了，
所以應該不是餓吧？！

以上向各位大大請益了，感謝！


"
